City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Bykovo,RU,55.6361,38.0803,48.56,87,75,6.71,broken clouds
313,Bambous Virieux,MU,-20.3428,57.7575,74.21,100,75,3.44,light rain
314,Gat,IL,31.61,34.7642,71.4,59,0,4.36,clear sky
315,Fort Nelson,CA,58.8053,-122.7002,67.59,22,75,5.75,broken clouds
316,Benguela,AO,-12.5763,13.4055,77.61,87,24,3.36,few clouds
317,Pimentel,PE,-6.8367,-79.9342,86.29,54,20,16.11,few clouds
318,Lishui,CN,28.4604,119.9103,71.67,98,100,3.87,overcast clouds
319,Acarau,BR,-2.8856,-40.12,80.46,83,5,11.34,clear sky
320,Lagoa,PT,39.05,-27.9833,60.19,77,13,24.34,few clouds
321,Dawlatabad,AF,36.4141,64.9053,70.81,13,100,2.68,overcast clouds
322,Beyneu,KZ,45.3167,55.2,61.09,65,95,9.91,overcast clouds
323,Evans,US,33.5337,-82.1307,76.5,28,0,11.5,clear sky
324,Minuri,PH,16.535,121.8574,73.11,89,97,2.21,overcast clouds
325,Waddan,LY,29.1614,16.139,75.7,31,27,7.83,scattered clouds
326,Zhigansk,RU,66.7697,123.3711,25.25,90,100,8.95,overcast clouds
327,Luang Prabang,LA,19.8856,102.1347,74.17,89,18,1.3,few clouds
328,Meghri,AM,38.9029,46.2446,47.91,93,100,4.16,overcast clouds
329,Nkhotakota,MW,-12.9274,34.2961,68.04,69,12,4.47,few clouds
330,Ostrovnoy,RU,68.0531,39.5131,31.41,99,100,21.25,snow
331,Blyth,GB,55.1271,-1.5086,51.08,80,0,8.05,clear sky
332,Solec Kujawski,PL,53.0837,18.2257,48.83,69,0,1.14,clear sky
333,Auki,SB,-8.7676,160.7034,78.91,89,77,4.25,broken clouds
334,Yerbogachen,RU,61.2767,108.0108,21.16,95,26,5.26,scattered clouds
335,Rupert,US,42.6191,-113.6772,76.17,19,0,8.05,clear sky
336,Aripuana,BR,-9.1667,-60.6333,80.22,83,99,0.87,heavy intensity rain
337,Shetpe,KZ,44.1667,52.1167,51.46,78,12,15.95,few clouds
338,Mandalgovi,MN,45.7625,106.2708,39.13,43,99,15.41,overcast clouds
339,Papara,BR,-3.9839,-38.7273,82.8,87,7,3.65,clear sky
340,Vardo,NO,70.3705,31.1107,28.38,86,75,21.85,broken clouds
341,Raga,SS,8.4596,25.678,80.44,55,100,5.12,overcast clouds
342,Puerto Quijarro,BO,-17.7833,-57.7667,86.95,54,89,0.89,overcast clouds
343,Lazaro Cardenas,MX,17.9583,-102.2,89.17,46,4,10.6,clear sky
